,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,9/13/15,1.07,417232.18,278048.26,62485.97,714.93,75983.02,46290.32,29678.76,13.94,conventional,2015,Atlanta
1,5/31/15,1.1,454702,382900.99,19543.18,522.81,51735.02,40505.16,11199.95,29.91,conventional,2015,Atlanta
2,8/7/16,2.03,1794.39,1069.54,187.76,0,537.09,500,37.09,0,organic,2016,GrandRapids
3,5/28/17,1.38,1975524.7,833904.89,499191.31,10560.99,631867.51,584294.01,29543.77,18029.73,conventional,2017,Plains
4,11/8/15,1.16,2197763.7,1420318.78,298081.99,25682.97,453679.96,309652.75,143978.69,48.52,conventional,2015,Southeast
5,6/26/16,1.13,3643417.33,609218.12,1609911.48,376048.28,1048239.45,778315.95,180042.48,89881.02,conventional,2016,GreatLakes
6,3/27/16,1.13,423257.57,2320.06,327259.78,29091.94,64585.79,64585.79,0,0,conventional,2016,NorthernNewEngland
7,12/25/16,1.17,475143.56,64749.6,143841.64,205.26,266347.06,265938.42,156.02,252.62,conventional,2016,Seattle
8,1/31/16,1.02,3318109.53,1774273.7,625042.37,15260.7,903532.76,485345.67,418187.09,0,conventional,2016,Southeast
9,5/21/17,2.39,70663.57,6849.35,27571.04,1575.09,34668.09,34668.09,0,0,organic,2017,NewYork
